Equipo,Goles Totales,Goleador,Goles del goleador,Dependencia
Arsenal,57,Viktor Gyökeres,11,19%
Aston Villa,40,Ollie Watkins,9,23%
Bournemouth,36,Eli Junior Kroupi,9,25%
Brentford,45,Igor Thiago,19,42%
Brighton Hove Albion,40,Danny Welbeck,12,30%
Burnley,30,Zian Flemming,8,27%
Chelsea,52,João Pedro,14,27%
Crystal Palace,33,Jean-Philippe Mateta,8,24%
Everton,35,Thierno Barry,6,17%
Fulham,39,Harry Wilson,10,26%
Leeds United,37,Dominic Calvert-Lewin,10,27%
Liverpool,48,Hugo Ekitiké,11,23%
Manchester City,69,Erling Haaland,22,32%
Manchester United,53,Bryan Mbeumo,9,17%
Newcastle United,44,Bruno Guimarães,9,20%
Nottingham Forest,31,Morgan Gibbs-White,9,29%
Sunderland,29,Brian Brobbey,6,21%
Tottenham Hotspur,37,Richarlison,9,24%
West Ham United,34,Jarrod Bowen,8,24%
Wolverhampton,22,Tolu Arokodare,3,14%
